One Processor: 
Tolerence Level: 0.1
Final Difference Between Grids: 0.0999044
Iteration Count: 2068
Ticks: 329468
Seconds: 0.329468s
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 97.7754][ 95.5658][ 93.3859][ 91.2495][ 89.1696][ 87.1579][ 85.2247][ 83.3787][ 81.6272][ 79.9761][   78.43][ 76.9922][  75.665][ 74.4498][ 73.3473][ 72.3577][ 71.4807][ 70.7157][  70.062][ 69.5188][ 69.0854][  68.761][ 68.5451][ 68.4373][ 68.4374][ 68.5453][ 68.7613][ 69.0858][ 69.5193][ 70.0625][ 70.7163][ 71.4814][ 72.3585][ 73.3481][ 74.4506][ 75.6659][ 76.9931][ 78.4309][  79.977][  81.628][ 83.3795][ 85.2255][ 87.1586][ 89.1703][   91.25][ 93.3863][ 95.5661][ 97.7755][     100]
[     100][ 97.9395][ 95.8921][ 93.8709][  91.888][ 89.9551][ 88.0827][ 86.2801][ 84.5555][ 82.9159][ 81.3671][ 79.9137][ 78.5592][ 77.3063][ 76.1568][  75.112][ 74.1725][ 73.3385][   72.61][ 71.9867][ 71.4682][ 71.0541][  70.744][ 70.5374][ 70.4343][ 70.4343][ 70.5376][ 70.7442][ 71.0545][ 71.4687][ 71.9873][ 72.6106][ 73.3392][ 74.1733][ 75.1128][ 76.1577][ 77.3071][ 78.5601][ 79.9146][  81.368][ 82.9168][ 84.5563][ 86.2808][ 88.0834][ 89.9558][ 91.8886][ 93.8713][ 95.8924][ 97.9396][     100]
[     100][ 98.0904][ 96.1924][ 94.3175][ 92.4767][ 90.6802][ 88.9376][ 87.2575][ 85.6475][ 84.1141][ 82.6629][ 81.2986][ 80.0247][ 78.8443][ 77.7594][ 76.7716][  75.882][ 75.0911][ 74.3994][ 73.8068][ 73.3135][ 72.9191][ 72.6235][ 72.4266][ 72.3282][ 72.3283][ 72.4268][ 72.6238][ 72.9194][ 73.3139][ 73.8074][    74.4][ 75.0918][ 75.8827][ 76.7724][ 77.7602][ 78.8451][ 80.0256][ 81.2995][ 82.6638][  84.115][ 85.6483][ 87.2583][ 88.9384][ 90.6809][ 92.4772][  94.318][ 96.1927][ 98.0905][     100]
[     100][ 98.2297][ 96.4697][ 94.7302][ 93.0211][ 91.3515][ 89.7302][  88.165][ 86.6629][ 85.2301][  83.872][ 82.5931][  81.397][ 80.2869][  79.265][ 78.3332][ 77.4928][ 76.7448][ 76.0897][  75.528][ 75.0599][ 74.6854][ 74.4046][ 74.2175][ 74.1239][  74.124][ 74.2176][ 74.4049][ 74.6858][ 75.0603][ 75.5285][ 76.0903][ 76.7454][ 77.4935][  78.334][ 79.2658][ 80.2877][ 81.3979][  82.594][ 83.8729][  85.231][ 86.6637][ 88.1658][ 89.7309][ 91.3522][ 93.0216][ 94.7306][   96.47][ 98.2298][     100]
[     100][ 98.3586][ 96.7264][ 95.1126][ 93.5259][ 91.9747][ 90.4668][ 89.0094][ 87.6091][ 86.2716][ 85.0021][ 83.8048][ 82.6836][ 81.6414][ 80.6807][ 79.8035][ 79.0115][ 78.3056][ 77.6869][ 77.1558][ 76.7129][ 76.3583][ 76.0923][ 75.9149][ 75.8262][ 75.8263][ 75.9151][ 76.0925][ 76.3586][ 76.7133][ 77.1563][ 77.6875][ 78.3063][ 79.0122][ 79.8043][ 80.6815][ 81.6422][ 82.6845][ 83.8057][  85.003][ 86.2725][ 87.6099][ 89.0102][ 90.4675][ 91.9753][ 93.5264][  95.113][ 96.7267][ 98.3587][     100]
[     100][ 98.4783][ 96.9649][ 95.4679][ 93.9953][ 92.5546][ 91.1529][ 89.7969][ 88.4926][ 87.2453][   86.06][ 84.9407][ 83.8912][ 82.9145][  82.013][  81.189][ 80.4441][ 79.7796][ 79.1965][ 78.6957][ 78.2776][ 77.9428][ 77.6915][ 77.5239][ 77.4401][ 77.4401][  77.524][ 77.6917][ 77.9432][ 78.2781][ 78.6962][ 79.1971][ 79.7803][ 80.4448][ 81.1898][ 82.0139][ 82.9153][ 83.8921][ 84.9416][ 86.0609][ 87.2462][ 88.4934][ 89.7977][ 91.1536][ 92.5552][ 93.9958][ 95.4683][ 96.9652][ 98.4784][     100]
[     100][ 98.5897][ 97.1869][ 95.7989][ 94.4328][ 93.0955][ 91.7935][ 90.5328][ 89.3191][ 88.1572][ 87.0519][ 86.0071][ 85.0262][ 84.1124][ 83.2681][ 82.4956][ 81.7965][ 81.1723][ 80.6241][ 80.1529][ 79.7594][  79.444][ 79.2072][ 79.0492][ 78.9702][ 78.9702][ 79.0494][ 79.2075][ 79.4444][ 79.7598][ 80.1535][ 80.6247][ 81.1729][ 81.7972][ 82.4963][  83.269][ 84.1132][ 85.0271][ 86.0079][ 87.0528][ 88.1581][ 89.3199][ 90.5336][ 91.7942][ 93.0962][ 94.4333][ 95.7993][ 97.1872][ 98.5899][     100]
[     100][ 98.6937][ 97.3942][  96.108][ 94.8416][ 93.6013][ 92.3929][  91.222][ 90.0937][ 89.0128][ 87.9834][ 87.0095][ 86.0944][ 85.2409][ 84.4517][ 83.7288][ 83.0741][ 82.4891][  81.975][ 81.5328][ 81.1632][ 80.8669][ 80.6443][ 80.4958][ 80.4215][ 80.4215][ 80.4959][ 80.6446][ 80.8672][ 81.1636][ 81.5333][ 81.9756][ 82.4898][ 83.0748][ 83.7296][ 84.4525][ 85.2418][ 86.0952][ 87.0104][ 87.9843][ 89.0136][ 90.0945][ 91.2227][ 92.3936][ 93.6019][ 94.8421][ 96.1084][ 97.3945][ 98.6939][     100]
[     100][  98.791][ 97.5882][ 96.3973][ 95.2244][ 94.0751][ 92.9548][ 91.8686][ 90.8211][ 89.8168][ 88.8597][ 87.9534][  87.101][ 86.3054][  85.569][ 84.8941][ 84.2823][ 83.7352][ 83.2541][ 82.8401][ 82.4939][ 82.2162][ 82.0076][ 81.8683][ 81.7986][ 81.7987][ 81.8684][ 82.0078][ 82.2166][ 82.4943][ 82.8406][ 83.2547][ 83.7359][  84.283][ 84.8948][ 85.5698][ 86.3062][ 87.1018][ 87.9542][ 88.8606][ 89.8176][ 90.8219][ 91.8693][ 92.9555][ 94.0757][  95.225][ 96.3977][ 97.5884][ 98.7912][     100]
[     100][ 98.8823][ 97.7701][ 96.6688][ 95.5837][ 94.5201][ 93.4828][ 92.4764][ 91.5054][ 90.5738][ 89.6853][ 88.8434][ 88.0509][ 87.3107][ 86.6252][ 85.9963][ 85.4259][ 84.9155][ 84.4665][ 84.0797][ 83.7563][ 83.4967][ 83.3016][ 83.1714][ 83.1062][ 83.1063][ 83.1715][ 83.3019][ 83.4971][ 83.7567][ 84.0802][  84.467][ 84.9162][ 85.4266][  85.997][ 86.6259][ 87.3115][ 88.0518][ 88.8442][ 89.6862][ 90.5746][ 91.5062][ 92.4771][ 93.4834][ 94.5207][ 95.5842][ 96.6692][ 97.7703][ 98.8824][     100]
[     100][ 98.9681][ 97.9411][  96.924][ 95.9217][ 94.9388][ 93.9798][  93.049][ 92.1504][ 91.2878][ 90.4646][  89.684][ 88.9488][ 88.2616][ 87.6247][ 87.0402][ 86.5097][ 86.0347][ 85.6166][ 85.2564][ 84.9549][  84.713][ 84.5311][ 84.4096][ 84.3488][ 84.3488][ 84.4097][ 84.5313][ 84.7133][ 84.9553][ 85.2568][ 85.6171][ 86.0353][ 86.5103][ 87.0409][ 87.6255][ 88.2624][ 88.9496][ 89.6848][ 90.4654][ 91.2886][ 92.1512][ 93.0497][ 93.9805][ 94.9394][ 95.9222][ 96.9244][ 97.9414][ 98.9682][     100]
[     100][ 99.0489][ 98.1022][ 97.1646][ 96.2403][ 95.3337][ 94.4488][ 93.5895][ 92.7596][ 91.9625][ 91.2014][ 90.4792][ 89.7987][ 89.1623][ 88.5722][ 88.0302][  87.538][ 87.0972][  86.709][ 86.3744][ 86.0942][ 85.8693][ 85.7002][ 85.5873][ 85.5307][ 85.5308][ 85.5874][ 85.7004][ 85.8697][ 86.0946][ 86.3748][ 86.7095][ 87.0978][ 87.5387][ 88.0309][ 88.5729][ 89.1631][ 89.7995][   90.48][ 91.2022][ 91.9632][ 92.7603][ 93.5902][ 94.4494][ 95.3342][ 96.2408][  97.165][ 98.1025][  99.049][     100]
[     100][ 99.1252][ 98.2544][ 97.3918][ 96.5413][ 95.7069][ 94.8921][ 94.1007][  93.336][ 92.6012][ 91.8993][  91.233][ 90.6048][ 90.0169][ 89.4716][ 88.9705][ 88.5152][ 88.1073][ 87.7479][  87.438][ 87.1785][ 86.9701][ 86.8134][ 86.7087][ 86.6563][ 86.6563][ 86.7088][ 86.8136][ 86.9704][ 87.1789][ 87.4385][ 87.7484][ 88.1079][ 88.5159][ 88.9711][ 89.4723][ 90.0177][ 90.6055][ 91.2337][ 91.9001][  92.602][ 93.3367][ 94.1014][ 94.8927][ 95.7074][ 96.5418][ 97.3922][ 98.2547][ 99.1253][     100]
[     100][ 99.1974][ 98.3985][ 97.6069][ 96.8264][ 96.0604][ 95.3123][ 94.5853][ 93.8827][ 93.2072][ 92.5617][ 91.9487][ 91.3705][ 90.8292][ 90.3268][  89.865][ 89.4453][ 89.0691][ 88.7374][ 88.4514][ 88.2119][ 88.0195][ 87.8747][  87.778][ 87.7296][ 87.7296][ 87.7781][ 87.8749][ 88.0197][ 88.2122][ 88.4519][ 88.7379][ 89.0696][ 89.4459][ 89.8656][ 90.3275][ 90.8299][ 91.3712][ 91.9494][ 92.5625][ 93.2079][ 93.8834][  94.586][ 95.3128][ 96.0609][ 96.8268][ 97.6073][ 98.3987][ 99.1975][     100]
