
*************************
hdFourPro(): Four Processors:
Grid_SPEC: (WxH) 100x100
Tolerance Level: 0.1
Final accumulative difference between grids: 0.0999667
Iteration Count: 4224
CPU Time(Ticks): 4.07386e+06
CPU Time(Seconds): 4.07386s
OMP Wall Time(Seconds): 2.20627s
OMP Timer Precision(Seconds): 0
********************************
FINAL GRID: 
***********************************
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 98.2605][ 96.5254][ 94.7991][ 93.0859][ 91.3898][ 89.7149][ 88.0648][  86.443][ 84.8524][ 83.2961][ 81.7764][ 80.2956][ 78.8554][ 77.4576][ 76.1034][ 74.7936][ 73.5292][ 72.3104][ 71.1377][ 70.0111][ 68.9305][ 67.8957][ 66.9062][ 65.9617][ 65.0615][ 64.2051][ 63.3917][ 62.6206][ 61.8911][ 61.2024][ 60.5538][ 59.9444][ 59.3734][ 58.8403][ 58.3442][ 57.8844][ 57.4604][ 57.0714][  56.717][ 56.3965][ 56.1095][ 55.8555][ 55.6342][ 55.4451][  55.288][ 55.1627][ 55.0688][ 55.0064][ 54.9752][ 54.9752][ 55.0064][ 55.0689][ 55.1627][ 55.2881][ 55.4452][ 55.6343][ 55.8556][ 56.1096][ 56.3967][ 56.7171][ 57.0716][ 57.4606][ 57.8846][ 58.3444][ 58.8405][ 59.3737][ 59.9446][  60.554][ 61.2027][ 61.8914][ 62.6209][  63.392][ 64.2054][ 65.0618][  65.962][ 66.9065][  67.896][ 68.9308][ 70.0114][  71.138][ 72.3107][ 73.5295][ 74.7939][ 76.1036][ 77.4579][ 78.8557][ 80.2958][ 81.7766][ 83.2963][ 84.8526][ 86.4431][  88.065][ 89.7151][   91.39][  93.086][ 94.7992][ 96.5254][ 98.2605][     100]
[     100][ 98.3329][ 96.6698][ 95.0148][ 93.3717][ 91.7444][ 90.1363][  88.551][ 86.9916][ 85.4611][  83.962][ 82.4968][ 81.0676][ 79.6761][  78.324][ 77.0125][ 75.7426][ 74.5151][ 73.3307][ 72.1896][ 71.0921][ 70.0382][ 69.0277][ 68.0605][ 67.1362][ 66.2544][ 65.4146][ 64.6162][ 63.8586][ 63.1412][ 62.4634][ 61.8244][ 61.2236][ 60.6604][  60.134][ 59.6439][ 59.1895][ 58.7701][ 58.3852][ 58.0343][ 57.7168][ 57.4325][ 57.1807][ 56.9613][ 56.7738][ 56.6179][ 56.4935][ 56.4004][ 56.3384][ 56.3075][ 56.3075][ 56.3385][ 56.4005][ 56.4936][  56.618][ 56.7738][ 56.9614][ 57.1808][ 57.4326][  57.717][ 58.0344][ 58.3854][ 58.7703][ 59.1897][ 59.6442][ 60.1343][ 60.6606][ 61.2239][ 61.8247][ 62.4637][ 63.1415][ 63.8589][ 64.6165][ 65.4149][ 66.2547][ 67.1365][ 68.0608][  69.028][ 70.0385][ 71.0924][ 72.1899][  73.331][ 74.5154][ 75.7429][ 77.0128][ 78.3243][ 79.6764][ 81.0678][  82.497][ 83.9622][ 85.4613][ 86.9918][ 88.5512][ 90.1365][ 91.7445][ 93.3718][ 95.0149][ 96.6699][ 98.3329][     100]
[     100][ 98.4013][ 96.8062][ 95.2186][ 93.6419][ 92.0796][  90.535][ 89.0113][ 87.5115][ 86.0383][ 84.5941][ 83.1813][ 81.8018][ 80.4575][ 79.1498][   77.88][ 76.6492][ 75.4582][ 74.3076][ 73.1979][ 72.1295][ 71.1024][ 70.1165][ 69.1719][ 68.2683][ 67.4054][ 66.5827][ 65.7999][ 65.0564][ 64.3518][ 63.6855][ 63.0569][ 62.4654][ 61.9105][ 61.3916][ 60.9081][ 60.4595][ 60.0453][  59.665][ 59.3181][ 59.0042][ 58.7228][ 58.4737][ 58.2564][ 58.0708][ 57.9164][ 57.7932][ 57.7009][ 57.6395][ 57.6088][ 57.6088][ 57.6395][  57.701][ 57.7933][ 57.9165][ 58.0708][ 58.2565][ 58.4738][  58.723][ 59.0043][ 59.3183][ 59.6652][ 60.0455][ 60.4597][ 60.9083][ 61.3918][ 61.9107][ 62.4657][ 63.0571][ 63.6858][ 64.3521][ 65.0567][ 65.8002][  66.583][ 67.4057][ 68.2686][ 69.1723][ 70.1169][ 71.1027][ 72.1298][ 73.1983][ 74.3079][ 75.4585][ 76.6495][ 77.8803][   79.15][ 80.4577][ 81.8021][ 83.1815][ 84.5943][ 86.0385][ 87.5117][ 89.0115][ 90.5351][ 92.0797][  93.642][ 95.2187][ 96.8063][ 98.4013][     100]
[     100][  98.466][ 96.9353][ 95.4114][ 93.8976][  92.397][ 90.9128][ 89.4478][ 88.0048][ 86.5864][ 85.1949][ 83.8324][  82.501][ 81.2022][ 79.9376][ 78.7085][ 77.5159][ 76.3607][ 75.2436][ 74.1651][ 73.1256][ 72.1252][ 71.1642][ 70.2424][ 69.3597][  68.516][  67.711][ 66.9442][ 66.2154][ 65.5241][ 64.8699][ 64.2522][ 63.6706][ 63.1246][ 62.6137][ 62.1374][ 61.6952][ 61.2867][ 60.9114][  60.569][  60.259][  59.981][ 59.7348][   59.52][ 59.3365][ 59.1838][ 59.0619][ 58.9707][ 58.9099][ 58.8795][ 58.8795][ 58.9099][ 58.9707][  59.062][ 59.1839][ 59.3366][ 59.5202][ 59.7349][ 59.9812][ 60.2591][ 60.5692][ 60.9116][ 61.2869][ 61.6954][ 62.1376][ 62.6139][ 63.1249][ 63.6709][ 64.2525][ 64.8702][ 65.5245][ 66.2158][ 66.9446][ 67.7113][ 68.5164][ 69.3601][ 70.2427][ 71.1645][ 72.1256][ 73.1259][ 74.1654][ 75.2439][  76.361][ 77.5162][ 78.7088][ 79.9379][ 81.2025][ 82.5012][ 83.8327][ 85.1951][ 86.5866][  88.005][  89.448][ 90.9129][ 92.3971][ 93.8977][ 95.4115][ 96.9354][  98.466][     100]
[     100][ 98.5272][ 97.0576][ 95.5942][ 94.1401][ 92.6982][ 91.2713][ 89.8622][ 88.4735][ 87.1076][ 85.7666][ 84.4526][ 83.1674][ 81.9128][ 80.6901][ 79.5006][ 78.3453][ 77.2252][ 76.1411][ 75.0933][ 74.0825][ 73.1089][ 72.1726][ 71.2738][ 70.4123][ 69.5881][  68.801][ 68.0507][  67.337][ 66.6595][ 66.0178][ 65.4115][ 64.8403][ 64.3037][ 63.8012][ 63.3326][ 62.8973][ 62.4949][ 62.1251][ 61.7875][ 61.4817][ 61.2075][ 60.9645][ 60.7525][ 60.5712][ 60.4205][ 60.3001][   60.21][ 60.1499][ 60.1199][ 60.1199][ 60.1499][   60.21][ 60.3002][ 60.4206][ 60.5714][ 60.7526][ 60.9647][ 61.2077][ 61.4819][ 61.7877][ 62.1253][ 62.4951][ 62.8975][ 63.3328][ 63.8015][  64.304][ 64.8406][ 65.4118][ 66.0181][ 66.6598][ 67.3373][  68.051][ 68.8013][ 69.5884][ 70.4126][ 71.2741][  72.173][ 73.1092][ 74.0829][ 75.0937][ 76.1414][ 77.2256][ 78.3456][ 79.5009][ 80.6904][ 81.9131][ 83.1677][ 84.4528][ 85.7668][ 87.1078][ 88.4737][ 89.8624][ 91.2715][ 92.6983][ 94.1402][ 95.5943][ 97.0577][ 98.5273][     100]
[     100][ 98.5854][ 97.1737][ 95.7677][ 94.3703][ 92.9842][ 91.6121][ 90.2564][ 88.9195][ 87.6038][ 86.3113][ 85.0439][ 83.8034][ 82.5914][ 81.4093][ 80.2583][ 79.1396][ 78.0539][ 77.0021][ 75.9847][ 75.0023][ 74.0552][ 73.1436][ 72.2677][ 71.4276][ 70.6231][ 69.8542][ 69.1207][ 68.4224][  67.759][ 67.1303][ 66.5358][ 65.9754][ 65.4486][ 64.9551][ 64.4945][ 64.0664][ 63.6706][ 63.3066][ 62.9742][  62.673][ 62.4028][ 62.1633][ 61.9543][ 61.7756][ 61.6269][ 61.5081][ 61.4192][ 61.3599][ 61.3303][ 61.3303][ 61.3599][ 61.4192][ 61.5082][  61.627][ 61.7757][ 61.9544][ 62.1635][  62.403][ 62.6732][ 62.9744][ 63.3068][ 63.6708][ 64.0666][ 64.4947][ 64.9553][ 65.4489][ 65.9757][ 66.5361][ 67.1306][ 67.7593][ 68.4227][  69.121][ 69.8545][ 70.6234][ 71.4279][ 72.2681][  73.144][ 74.0555][ 75.0026][  75.985][ 77.0024][ 78.0542][ 79.1399][ 80.2587][ 81.4096][ 82.5917][ 83.8037][ 85.0442][ 86.3115][  87.604][ 88.9197][ 90.2565][ 91.6122][ 92.9844][ 94.3705][ 95.7678][ 97.1738][ 98.5854][     100]
[     100][ 98.6407][  97.284][ 95.9327][ 94.5893][ 93.2564][ 91.9364][ 90.6316][ 89.3444][ 88.0768][ 86.8309][ 85.6084][  84.411][ 83.2402][ 82.0975][  80.984][ 79.9007][ 78.8487][ 77.8286][ 76.8411][ 75.8868][  74.966][  74.079][ 73.2261][ 72.4072][ 71.6225][  70.872][ 70.1555][ 69.4729][ 68.8239][ 68.2085][ 67.6262][ 67.0769][ 66.5603][  66.076][ 65.6238][ 65.2034][ 64.8144][ 64.4566][ 64.1297][ 63.8334][ 63.5675][ 63.3317][ 63.1259][ 62.9498][ 62.8034][ 62.6864][ 62.5987][ 62.5403][ 62.5111][ 62.5112][ 62.5403][ 62.5988][ 62.6864][ 62.8034][ 62.9499][  63.126][ 63.3318][ 63.5676][ 63.8335][ 64.1299][ 64.4568][ 64.8146][ 65.2036][ 65.6241][ 66.0763][ 66.5606][ 67.0772][ 67.6265][ 68.2088][ 68.8242][ 69.4732][ 70.1558][ 70.8723][ 71.6229][ 72.4076][ 73.2264][ 74.0794][ 74.9664][ 75.8872][ 76.8415][ 77.8289][  78.849][  79.901][ 80.9843][ 82.0978][ 83.2405][ 84.4113][ 85.6086][ 86.8311][ 88.0771][ 89.3446][ 90.6318][ 91.9365][ 93.2565][ 94.5894][ 95.9328][ 97.2841][ 98.6407][     100]
[     100][ 98.6933][ 97.3891][ 96.0898][ 94.7978][ 93.5156][ 92.2454][ 90.9894][ 89.7497][ 88.5283][  87.327][ 86.1477][ 84.9919][  83.861][ 82.7564][ 81.6793][ 80.6307][ 79.6115][ 78.6226][ 77.6645][ 76.7378][  75.843][ 74.9804][ 74.1503][ 73.3527][ 72.5879][ 71.8558][ 71.1564][ 70.4897][ 69.8554][ 69.2535][ 68.6837][ 68.1458][ 67.6397][  67.165][ 66.7215][ 66.3089][ 65.9271][ 65.5757][ 65.2546][ 64.9634][  64.702][ 64.4702][ 64.2677][ 64.0945][ 63.9504][ 63.8353][  63.749][ 63.6916][ 63.6628][ 63.6629][ 63.6916][ 63.7491][ 63.8354][ 63.9505][ 64.0946][ 64.2679][ 64.4703][ 64.7022][ 64.9636][ 65.2548][ 65.5759][ 65.9273][ 66.3092][ 66.7217][ 67.1652][   67.64][ 68.1461][  68.684][ 69.2538][ 69.8557][   70.49][ 71.1568][ 71.8562][ 72.5883][ 73.3531][ 74.1506][ 74.9808][ 75.8434][ 76.7382][ 77.6648][ 78.6229][ 79.6119][  80.631][ 81.6796][ 82.7567][ 83.8613][ 84.9922][  86.148][ 87.3273][ 88.5285][ 89.7499][ 90.9896][ 92.2456][ 93.5158][  94.798][ 96.0899][ 97.3891][ 98.6933][     100]
[     100][ 98.7434][ 97.4892][ 96.2395][ 94.9966][ 93.7628][ 92.5402][ 91.3308][ 90.1367][ 88.9596][ 87.8013][ 86.6636][ 85.5478][ 84.4555][ 83.3879][ 82.3462][ 81.3313][ 80.3442][ 79.3857][ 78.4564][  77.557][ 76.6878][ 75.8494][ 75.0419][ 74.2656][ 73.5206][  72.807][ 72.1248][  71.474][ 70.8546][ 70.2664][ 69.7093][ 69.1831][ 68.6876][ 68.2227][ 67.7882][ 67.3838][ 67.0094][ 66.6647][ 66.3495][ 66.0637][  65.807][ 65.5793][ 65.3804][ 65.2102][ 65.0686][ 64.9554][ 64.8706][ 64.8141][ 64.7859][ 64.7859][ 64.8141][ 64.8706][ 64.9555][ 65.0687][ 65.2103][ 65.3805][ 65.5794][ 65.8072][ 66.0639][ 66.3497][ 66.6649][ 67.0096][ 67.3841][ 67.7885][  68.223][ 68.6879][ 69.1834][ 69.7096][ 70.2667][ 70.8549][ 71.4744][ 72.1251][ 72.8073][ 73.5209][ 74.2659][ 75.0422][ 75.8497][ 76.6882][ 77.5573][ 78.4568][  79.386][ 80.3445][ 81.3316][ 82.3465][ 83.3882][ 84.4558][ 85.5481][ 86.6638][ 87.8016][ 88.9598][ 90.1369][  91.331][ 92.5404][  93.763][ 94.9968][ 96.2396][ 97.4892][ 98.7435][     100]
[     100][ 98.7913][ 97.5847][ 96.3824][ 95.1864][ 93.9989][ 92.8218][ 91.6571][ 90.5066][  89.372][ 88.2551][ 87.1574][ 86.0804][ 85.0254][ 83.9936][ 82.9862][ 82.0041][ 81.0483][ 80.1196][ 79.2186][ 78.3459][  77.502][ 76.6874][ 75.9023][ 75.1471][ 74.4218][ 73.7267][ 73.0618][ 72.4271][ 71.8226][ 71.2482][ 70.7039][ 70.1896][  69.705][ 69.2502][ 68.8248][ 68.4288][  68.062][ 67.7242][ 67.4152][ 67.1348][  66.883][ 66.6596][ 66.4644][ 66.2974][ 66.1583][ 66.0472][ 65.9639][ 65.9084][ 65.8807][ 65.8807][ 65.9084][ 65.9639][ 66.0472][ 66.1584][ 66.2975][ 66.4646][ 66.6598][ 66.8832][  67.135][ 67.4154][ 67.7244][ 68.0622][ 68.4291][ 68.8251][ 69.2505][ 69.7053][ 70.1899][ 70.7043][ 71.2486][ 71.8229][ 72.4274][ 73.0622][ 73.7271][ 74.4222][ 75.1475][ 75.9027][ 76.6878][ 77.5024][ 78.3463][ 79.2189][ 80.1199][ 81.0487][ 82.0045][ 82.9865][ 83.9939][ 85.0257][ 86.0807][ 87.1577][ 88.2554][ 89.3723][ 90.5068][ 91.6573][  92.822][ 93.9991][ 95.1866][ 96.3825][ 97.5847][ 98.7913][     100]
[     100][  98.837][ 97.6759][ 96.5189][ 95.3678][ 94.2246][ 93.0911][ 91.9691][ 90.8605][ 89.7669][ 88.6897][ 87.6306][  86.591][  85.572][ 84.5749][ 83.6008][ 82.6507][ 81.7254][ 80.8257][ 79.9524][  79.106][  78.287][ 77.4959][  76.733][ 75.9987][  75.293][ 74.6163][ 73.9686][   73.35][ 72.7605][ 72.2001][ 71.6687][ 71.1663][ 70.6929][ 70.2482][ 69.8322][ 69.4447][ 69.0856][ 68.7548][ 68.4522][ 68.1775][ 67.9308][ 67.7118][ 67.5204][ 67.3566][ 67.2202][ 67.1112][ 67.0295][  66.975][ 66.9478][ 66.9478][  66.975][ 67.0295][ 67.1112][ 67.2203][ 67.3567][ 67.5205][ 67.7119][  67.931][ 68.1777][ 68.4524][ 68.7551][ 69.0859][ 69.4449][ 69.8324][ 70.2485][ 70.6932][ 71.1666][  71.669][ 72.2004][ 72.7608][ 73.3503][  73.969][ 74.6167][ 75.2934][  75.999][ 76.7334][ 77.4963][ 78.2874][ 79.1064][ 79.9528][ 80.8261][ 81.7258][  82.651][ 83.6012][ 84.5752][ 85.5723][ 86.5913][ 87.6309][   88.69][ 89.7671][ 90.8607][ 91.9694][ 93.0913][ 94.2247][ 95.3679][  96.519][  97.676][  98.837][     100]
[     100][ 98.8807][ 97.7632][ 96.6495][ 95.5413][ 94.4405][ 93.3488][ 92.2679][ 91.1995][ 90.1452][ 89.1063][ 88.0845][ 87.0808][ 86.0967][ 85.1333][ 84.1915][ 83.2724][ 82.3769][ 81.5056][ 80.6594][ 79.8387][ 79.0442][ 78.2762][ 77.5352][ 76.8215][ 76.1354][ 75.4769][ 74.8464][ 74.2438][ 73.6693][ 73.1229][ 72.6045][ 72.1142][ 71.6519][ 71.2175][  70.811][ 70.4322][  70.081][ 69.7574][ 69.4613][ 69.1924][ 68.9508][ 68.7363][ 68.5488][ 68.3883][ 68.2547][ 68.1479][ 68.0678][ 68.0144][ 67.9878][ 67.9878][ 68.0145][ 68.0678][ 68.1479][ 68.2548][ 68.3885][  68.549][ 68.7365][  68.951][ 69.1926][ 69.4615][ 69.7577][ 70.0813][ 70.4324][ 70.8113][ 71.2178][ 71.6522][ 72.1145][ 72.6049][ 73.1232][ 73.6697][ 74.2442][ 74.8468][ 75.4773][ 76.1357][ 76.8219][ 77.5356][ 78.2766][ 79.0445][ 79.8391][ 80.6597][  81.506][ 82.3772][ 83.2728][ 84.1919][ 85.1336][ 86.0971][ 87.0812][ 88.0847][ 89.1066][ 90.1454][ 91.1997][ 92.2681][  93.349][ 94.4406][ 95.5414][ 96.6496][ 97.7633][ 98.8807][     100]
[     100][ 98.9225][ 97.8467][ 96.7745][ 95.7074][ 94.6473][ 93.5957][ 92.5542][ 91.5245][ 90.5079][  89.506][   88.52][ 87.5512][ 86.6009][   85.67][ 84.7596][ 83.8707][ 83.0041][ 82.1605][ 81.3407][ 80.5453][ 79.7748][ 79.0296][ 78.3102][ 77.6169][   76.95][ 76.3097][ 75.6962][ 75.1096][ 74.5501][ 74.0177][ 73.5123][ 73.0342][ 72.5831][ 72.1591][ 71.7621][ 71.3921][ 71.0489][ 70.7326][  70.443][ 70.1801][ 69.9438][ 69.7339][ 69.5504][ 69.3933][ 69.2625][ 69.1579][ 69.0795][ 69.0272][ 69.0011][ 69.0011][ 69.0272][ 69.0795][ 69.1579][ 69.2626][ 69.3934][ 69.5505][  69.734][ 69.9439][ 70.1803][ 70.4433][ 70.7329][ 71.0492][ 71.3923][ 71.7624][ 72.1594][ 72.5834][ 73.0345][ 73.5127][  74.018][ 74.5505][   75.11][ 75.6966][ 76.3101][ 76.9504][ 77.6173][ 78.3106][   79.03][ 79.7751][ 80.5457][ 81.3411][ 82.1609][ 83.0044][ 83.8711][   84.76][ 85.6703][ 86.6012][ 87.5515][ 88.5203][ 89.5063][ 90.5082][ 91.5247][ 92.5544][ 93.5958][ 94.6474][ 95.7075][ 96.7746][ 97.8468][ 98.9225][     100]
[     100][ 98.9626][ 97.9268][ 96.8943][ 95.8667][ 94.8455][ 93.8324][ 92.8288][ 91.8363][ 90.8561][ 89.8897][ 88.9384][ 88.0033][ 87.0855][ 86.1862][ 85.3063][ 84.4467][ 83.6082][ 82.7917][ 81.9978][  81.227][   80.48][ 79.7572][ 79.0591][ 78.3859][  77.738][ 77.1157][ 76.5191][ 75.9485][ 75.4038][ 74.8854][ 74.3931][  73.927][ 73.4872][ 73.0736][ 72.6863][ 72.3251][ 71.9901][ 71.6811][ 71.3982][ 71.1413][ 70.9103][ 70.7051][ 70.5257][  70.372][  70.244][ 70.1417][  70.065][ 70.0139][ 69.9883][ 69.9884][ 70.0139][ 70.0651][ 70.1418][ 70.2441][ 70.3721][ 70.5258][ 70.7052][ 70.9104][ 71.1415][ 71.3985][ 71.6814][ 71.9903][ 72.3254][ 72.6866][ 73.0739][ 73.4875][ 73.9273][ 74.3934][ 74.8857][ 75.4042][ 75.9488][ 76.5195][ 77.1161][ 77.7384][ 78.3863][ 79.0595][ 79.7576][ 80.4804][ 81.2274][ 81.9982][ 82.7921][ 83.6086][  84.447][ 85.3066][ 86.1865][ 87.0858][ 88.0036][ 88.9387][   89.89][ 90.8564][ 91.8365][ 92.8291][ 93.8326][ 94.8457][ 95.8668][ 96.8944][ 97.9269][ 98.9626][     100]
[     100][  99.001][ 98.0036][ 97.0092][ 96.0194][ 95.0357][ 94.0596][ 93.0925][ 92.1357][ 91.1906][ 90.2585][ 89.3405][ 88.4379][ 87.5517][  86.683][ 85.8326][ 85.0015][ 84.1905][ 83.4003][ 82.6316][  81.885][ 81.1611][ 80.4603][  79.783][ 79.1297][ 78.5006][  77.896][ 77.3162][ 76.7613][ 76.2315][ 75.7269][ 75.2476][ 74.7937][ 74.3651][  73.962][ 73.5843][ 73.2321][ 72.9052][ 72.6037][ 72.3275][ 72.0766][  71.851][ 71.6505][ 71.4752][ 71.3251][    71.2][    71.1][  71.025][ 70.9751][ 70.9501][ 70.9501][ 70.9751][ 71.0251][ 71.1001][ 71.2001][ 71.3252][ 71.4754][ 71.6507][ 71.8511][ 72.0768][ 72.3277][ 72.6039][ 72.9054][ 73.2323][ 73.5846][ 73.9623][ 74.3655][  74.794][  75.248][ 75.7273][ 76.2319][ 76.7617][ 77.3166][ 77.8964][  78.501][ 79.1301][ 79.7834][ 80.4607][ 81.1615][ 81.8854][  82.632][ 83.4007][ 84.1909][ 85.0019][  85.833][ 86.6833][ 87.5521][ 88.4382][ 89.3408][ 90.2587][ 91.1909][ 92.1359][ 93.0927][ 94.0598][ 95.0359][ 96.0196][ 97.0093][ 98.0036][  99.001][     100]
[     100][ 99.0379][ 98.0773][ 97.1195][ 96.1661][ 95.2184][ 94.2779][ 93.3457][ 92.4234][ 91.5121][  90.613][ 89.7273][ 88.8562][ 88.0005][ 87.1614][ 86.3397][ 85.5363][  84.752][ 83.9875][ 83.2434][ 82.5204][ 81.8191][ 81.1398][  80.483][ 79.8492][ 79.2386][ 78.6516][ 78.0883][ 77.5491][  77.034][ 76.5432][ 76.0768][  75.635][ 75.2177][  74.825][  74.457][ 74.1137][  73.795][ 73.5009][ 73.2315][ 72.9867][ 72.7665][ 72.5709][ 72.3997][ 72.2531][  72.131][ 72.0333][ 71.9601][ 71.9113][ 71.8869][ 71.8869][ 71.9113][ 71.9602][ 72.0334][ 72.1311][ 72.2533][ 72.3999][  72.571][ 72.7667][ 72.9869][ 73.2317][ 73.5012][ 73.7952][ 74.1139][ 74.4573][ 74.8253][  75.218][ 75.6353][ 76.0772][ 76.5435][ 77.0343][ 77.5494][ 78.0887][  78.652][  79.239][ 79.8496][ 80.4834][ 81.1402][ 81.8195][ 82.5208][ 83.2438][ 83.9879][ 84.7524][ 85.5367][ 86.3401][ 87.1618][ 88.0009][ 88.8565][ 89.7277][ 90.6133][ 91.5124][ 92.4236][  93.346][  94.278][ 95.2186][ 96.1662][ 97.1196][ 98.0773][ 99.0379][     100]
[     100][ 99.0734][ 98.1481][ 97.2255][ 96.3071][  95.394][ 94.4876][ 93.5893][ 92.7001][ 91.8214][ 90.9542][ 90.0997][ 89.2589][ 88.4328][ 87.6224][ 86.8286][ 86.0521][ 85.2937][ 84.5542][ 83.8342][ 83.1343][  82.455][ 81.7968][ 81.1602][ 80.5455][ 79.9532][ 79.3834][ 78.8365][ 78.3127][ 77.8122][ 77.3351][ 76.8816][ 76.4517][ 76.0457][ 75.6634][ 75.3051][ 74.9707][ 74.6601][ 74.3736][  74.111][ 73.8723][ 73.6575][ 73.4667][ 73.2998][ 73.1567][ 73.0376][ 72.9423][ 72.8708][ 72.8232][ 72.7993][ 72.7993][ 72.8232][ 72.8708][ 72.9423][ 73.0377][ 73.1569][ 73.2999][ 73.4669][ 73.6577][ 73.8725][ 74.1112][ 74.3738][ 74.6604][ 74.9709][ 75.3054][ 75.6638][  76.046][ 76.4521][ 76.8819][ 77.3355][ 77.8126][ 78.3131][ 78.8369][ 79.3838][ 79.9536][ 80.5459][ 81.1606][ 81.7972][ 82.4554][ 83.1347][ 83.8346][ 84.5546][ 85.2941][ 86.0525][ 86.8289][ 87.6228][ 88.4332][ 89.2592][    90.1][ 90.9545][ 91.8216][ 92.7004][ 93.5895][ 94.4878][ 95.3942][ 96.3072][ 97.2256][ 98.1481][ 99.0734][     100]
[     100][ 99.1074][ 98.2162][ 97.3275][ 96.4426][ 95.5629][ 94.6895][ 93.8236][ 92.9664][ 92.1191][ 91.2827][ 90.4583][  89.647][ 88.8495][ 88.0669][ 87.3001][ 86.5497][ 85.8166][ 85.1015][ 84.4049][ 83.7275][ 83.0698][ 82.4323][ 81.8154][ 81.2196][ 80.6452][ 80.0924][ 79.5617][ 79.0531][  78.567][ 78.1035][ 77.6627][ 77.2448][ 76.8499][  76.478][ 76.1293][ 75.8038][ 75.5014][ 75.2223][ 74.9665][  74.734][ 74.5247][ 74.3387][  74.176][ 74.0365][ 73.9203][ 73.8274][ 73.7577][ 73.7112][  73.688][  73.688][ 73.7113][ 73.7577][ 73.8275][ 73.9204][ 74.0367][ 74.1761][ 74.3389][ 74.5249][ 74.7342][ 74.9668][ 75.2226][ 75.5017][  75.804][ 76.1296][ 76.4783][ 76.8502][ 77.2451][  77.663][ 78.1038][ 78.5674][ 79.0535][ 79.5621][ 80.0928][ 80.6456][   81.22][ 81.8158][ 82.4327][ 83.0702][ 83.7279][ 84.4053][ 85.1019][  85.817][ 86.5501][ 87.3004][ 88.0673][ 88.8499][ 89.6473][ 90.4586][  91.283][ 92.1194][ 92.9667][ 93.8238][ 94.6896][  95.563][ 96.4428][ 97.3276][ 98.2162][ 99.1075][     100]
[     100][ 99.1402][ 98.2817][ 97.4256][ 96.5731][ 95.7254][ 94.8837][ 94.0492][ 93.2229][ 92.4059][ 91.5993][  90.804][ 90.0211][ 89.2514][ 88.4958][ 87.7551][ 87.0301][ 86.3216][ 85.6302][ 84.9564][  84.301][ 83.6644][ 83.0472][ 82.4497][ 81.8723][ 81.3155][ 80.7795][ 80.2646][ 79.7711][ 79.2992][ 78.8491][  78.421][ 78.0149][ 77.6311][ 77.2695][ 76.9304][ 76.6137][ 76.3195][ 76.0479][ 75.7989][ 75.5724][ 75.3687][ 75.1875][  75.029][ 74.8931][ 74.7799][ 74.6893][ 74.6214][ 74.5761][ 74.5535][ 74.5535][ 74.5762][ 74.6215][ 74.6894][   74.78][ 74.8932][ 75.0291][ 75.1877][ 75.3688][ 75.5727][ 75.7991][ 76.0481][ 76.3198][  76.614][ 76.9307][ 77.2698][ 77.6314][ 78.0152][ 78.4213][ 78.8495][ 79.2996][ 79.7715][  80.265][ 80.7799][ 81.3159][ 81.8727][ 82.4501][ 83.0476][ 83.6648][ 84.3014][ 84.9568][ 85.6306][  86.322][ 87.0305][ 87.7555][ 88.4961][ 89.2517][ 90.0214][ 90.8043][ 91.5996][ 92.4062][ 93.2231][ 94.0494][ 94.8839][ 95.7256][ 96.5732][ 97.4257][ 98.2818][ 99.1403][     100]
[     100][ 99.1718][ 98.3448][   97.52][ 96.6987][  95.882][ 95.0709][ 94.2666][   93.47][ 92.6823][ 91.9045][ 91.1374][  90.382][ 89.6391][ 88.9097][ 88.1944][ 87.4942][ 86.8095][ 86.1412][ 85.4897][ 84.8558][ 84.2398][ 83.6423][ 83.0638][ 82.5046][  81.965][ 81.4455][ 80.9463][ 80.4676][ 80.0097][ 79.5729][ 79.1572][ 78.7629][   78.39][ 78.0387][  77.709][ 77.4011][ 77.1151][ 76.8509][ 76.6086][ 76.3883][   76.19][ 76.0137][ 75.8594][ 75.7271][ 75.6169][ 75.5287][ 75.4625][ 75.4184][ 75.3964][ 75.3964][ 75.4185][ 75.4626][ 75.5288][  75.617][ 75.7272][ 75.8595][ 76.0138][ 76.1902][ 76.3885][ 76.6089][ 76.8512][ 77.1154][ 77.4014][ 77.7093][  78.039][ 78.3903][ 78.7632][ 79.1576][ 79.5733][ 80.0101][  80.468][ 80.9467][ 81.4459][ 81.9654][  82.505][ 83.0642][ 83.6427][ 84.2402][ 84.8562][ 85.4901][ 86.1416][ 86.8099][ 87.4945][ 88.1948][   88.91][ 89.6395][ 90.3823][ 91.1377][ 91.9048][ 92.6826][ 93.4703][ 94.2668][ 95.0711][ 95.8822][ 96.6989][ 97.5201][ 98.3448][ 99.1718][     100]
