[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 98.9285][  97.859][ 96.7934][ 95.7335][  94.681][ 93.6379][ 92.6058][ 91.5864][ 90.5814][ 89.5922][ 88.6204][ 87.6673][ 86.7342][ 85.8224][ 84.9331][ 84.0672][ 83.2258][ 82.4097][ 81.6198][ 80.8568][ 80.1214][ 79.4141][ 78.7354][ 78.0859][ 77.4659][ 76.8758][ 76.3159][ 75.7864][ 75.2875][ 74.8194][ 74.3823][ 73.9762][ 73.6014][ 73.2577][ 72.9453][ 72.6643][ 72.4146][ 72.1963][ 72.0093][ 71.8537][ 71.7295][ 71.6367][ 71.5752][ 71.5451][ 71.5463][ 71.5789][ 71.6429][ 71.7382][ 71.8648][ 72.0228][  72.212][ 72.4327][ 72.6845][ 72.9677][ 73.2821][ 73.6277][ 74.0044][ 74.4122][ 74.8509][ 75.3205][ 75.8207][ 76.3515][ 76.9125][ 77.5035][ 78.1242][ 78.7744][ 79.4534][  80.161][ 80.8965][ 81.6594][  82.449][ 83.2646][ 84.1053][ 84.9703][ 85.8586][ 86.7691][ 87.7006][  88.652][  89.622][ 90.6091][ 91.6118][ 92.6287][ 93.6581][ 94.6984][ 95.7477][ 96.8044][ 97.8665][ 98.9324][     100]
[     100][ 98.9692][ 97.9403][ 96.9151][ 95.8952][ 94.8824][ 93.8783][ 92.8847][  91.903][ 90.9349][ 89.9818][ 89.0451][ 88.1261][ 87.2262][ 86.3464][ 85.4878][ 84.6516][ 83.8387][ 83.0499][ 82.2861][ 81.5479][ 80.8361][ 80.1512][ 79.4938][ 78.8644][ 78.2633][ 77.6909][ 77.1476][ 76.6335][ 76.1491][ 75.6944][ 75.2697][  74.875][ 74.5105][ 74.1762][ 73.8724][ 73.5989][ 73.3559][ 73.1434][ 72.9613][ 72.8099][ 72.6889][ 72.5985][ 72.5387][ 72.5094][ 72.5106][ 72.5424][ 72.6047][ 72.6976][ 72.8209][ 72.9748][ 73.1591][ 73.3739][ 73.6192][ 73.8947][ 74.2007][ 74.5368][ 74.9032][ 75.2996][  75.726][ 76.1821][ 76.6679][ 77.1832][ 77.7276][ 78.3009][ 78.9027][ 79.5328][ 80.1906][ 80.8757][ 81.5876][ 82.3257][ 83.0892][ 83.8775][ 84.6898][ 85.5251][ 86.3825][  87.261][ 88.1595][ 89.0768][ 90.0116][ 90.9627][ 91.9285][ 92.9076][ 93.8986][ 94.8997][ 95.9094][ 96.9261][ 97.9479][ 98.9731][     100]
[     100][ 99.0084][ 98.0185][  97.032][ 96.0506][ 95.0759][ 94.1095][ 93.1529][ 92.2077][ 91.2752][ 90.3569][ 89.4542][ 88.5682][ 87.7003][ 86.8515][ 86.0229][ 85.2156][ 84.4304][ 83.6683][ 82.9299][ 82.2161][ 81.5274][ 80.8646][  80.228][ 79.6183][ 79.0358][  78.481][ 77.9541][ 77.4555][ 76.9854][  76.544][ 76.1315][ 75.7481][  75.394][ 75.0692][ 74.7738][ 74.5079][ 74.2716][ 74.0649][ 73.8878][ 73.7405][ 73.6228][ 73.5348][ 73.4766][ 73.4481][ 73.4494][ 73.4804][ 73.5411][ 73.6315][ 73.7515][ 73.9013][ 74.0807][ 74.2896][ 74.5281][ 74.7961][ 75.0936][ 75.4203][ 75.7763][ 76.1614][ 76.5755][ 77.0184][ 77.4899][ 77.9897][ 78.5177][ 79.0734][ 79.6567][  80.267][ 80.9039][  81.567][ 82.2558][ 82.9695][ 83.7075][ 84.4692][ 85.2537][ 86.0602][ 86.8876][ 87.7351][ 88.6016][ 89.4859][ 90.3867][ 91.3029][ 92.2331][ 93.1758][ 94.1297][ 95.0933][ 96.0649][  97.043][  98.026][ 99.0122][     100]
[     100][  99.046][ 98.0936][ 97.1445][ 96.2002][ 95.2622][  94.332][ 93.4112][  92.501][  91.603][ 90.7183][ 89.8484][ 88.9945][ 88.1576][ 87.3389][ 86.5395][ 85.7603][ 85.0021][ 84.2659][ 83.5524][ 82.8624][ 82.1965][ 81.5552][ 80.9392][ 80.3489][ 79.7848][ 79.2472][ 78.7366][ 78.2532][ 77.7973][ 77.3691][ 76.9688][ 76.5967][ 76.2529][ 75.9374][ 75.6505][ 75.3922][ 75.1626][ 74.9617][ 74.7896][ 74.6463][  74.532][ 74.4465][ 74.3899][ 74.3622][ 74.3635][ 74.3936][ 74.4527][ 74.5406][ 74.6574][  74.803][ 74.9774][ 75.1806][ 75.4124][ 75.6728][ 75.9618][ 76.2792][ 76.6249][ 76.9987][ 77.4006][ 77.8302][ 78.2875][ 78.7721][ 79.2838][ 79.8223][ 80.3872][ 80.9781][ 81.5945][  82.236][  82.902][ 83.5919][ 84.3051][ 85.0408][ 85.7983][ 86.5767][  87.375][ 88.1924][ 89.0278][ 89.8801][ 90.7481][ 91.6306][ 92.5264][ 93.4341][ 94.3522][ 95.2795][ 96.2144][ 97.1555][ 98.1011][ 99.0498][     100]
[     100][ 99.0822][  98.166][ 97.2529][ 96.3443][ 95.4417][ 94.5465][   93.66][ 92.7838][  91.919][ 91.0669][ 90.2288][ 89.4058][ 88.5991][ 87.8097][ 87.0385][ 86.2866][ 85.5548][ 84.8439][ 84.1548][  83.488][ 82.8443][ 82.2243][ 81.6284][ 81.0572][ 80.5112][ 79.9907][ 79.4961][ 79.0277][ 78.5858][ 78.1707][ 77.7826][ 77.4216][  77.088][ 76.7819][ 76.5034][ 76.2526][ 76.0297][ 75.8346][ 75.6675][ 75.5283][ 75.4173][ 75.3342][ 75.2793][ 75.2524][ 75.2537][  75.283][ 75.3404][ 75.4259][ 75.5394][ 75.6809][ 75.8503][ 76.0476][ 76.2728][ 76.5257][ 76.8062][ 77.1142][ 77.4497][ 77.8123][ 78.2021][ 78.6187][ 79.0619][ 79.5315][ 80.0272][ 80.5486][ 81.0954][ 81.6671][ 82.2634][ 82.8837][ 83.5275][ 84.1942][  84.883][ 85.5934][ 86.3245][ 87.0756][ 87.8456][ 88.6338][  89.439][ 90.2603][ 91.0966][ 91.9466][ 92.8091][ 93.6829][ 94.5666][ 95.4589][ 96.3585][ 97.2638][ 98.1735][  99.086][     100]
[     100][ 99.1172][ 98.2358][ 97.3574][ 96.4832][ 95.6147][ 94.7532][ 93.9001][ 93.0566][ 92.2239][ 91.4034][ 90.5961][ 89.8031][ 89.0256][ 88.2646][ 87.5209][ 86.7956][ 86.0895][ 85.4034][  84.738][  84.094][  83.472][ 82.8727][ 82.2966][ 81.7442][  81.216][ 80.7123][ 80.2335][ 79.7799][  79.352][ 78.9498][ 78.5736][ 78.2238][ 77.9003][ 77.6035][ 77.3334][ 77.0901][ 76.8738][ 76.6845][ 76.5223][ 76.3873][ 76.2795][ 76.1989][ 76.1456][ 76.1195][ 76.1208][ 76.1493][  76.205][  76.288][ 76.3983][ 76.5356][ 76.7001][ 76.8917][ 77.1102][ 77.3555][ 77.6277][ 77.9264][ 78.2517][ 78.6033][  78.981][ 79.3847][  79.814][ 80.2688][ 80.7486][ 81.2532][ 81.7822][ 82.3352][ 82.9117][ 83.5113][ 84.1333][ 84.7772][ 85.4423][ 86.1279][ 86.8334][ 87.5578][ 88.3004][ 89.0602][ 89.8362][ 90.6275][ 91.4329][ 92.2514][ 93.0818][ 93.9228][ 94.7733][ 95.6319][ 96.4973][ 97.3682][ 98.2432][  99.121][     100]
[     100][ 99.1509][ 98.3031][ 97.4582][ 96.6173][ 95.7817][ 94.9528][ 94.1318][   93.32][ 92.5185][ 91.7284][ 90.9509][ 90.1871][  89.438][ 88.7046][ 87.9877][ 87.2883][ 86.6072][ 85.9451][ 85.3029][ 84.6812][ 84.0805][ 83.5016][ 82.9449][  82.411][ 81.9002][  81.413][ 80.9498][ 80.5109][ 80.0966][ 79.7072][  79.343][ 79.0041][ 78.6907][  78.403][ 78.1412][ 77.9054][ 77.6957][ 77.5122][ 77.3549][  77.224][ 77.1194][ 77.0413][ 76.9896][ 76.9643][ 76.9655][ 76.9932][ 77.0474][ 77.1279][ 77.2349][ 77.3682][ 77.5277][ 77.7135][ 77.9254][ 78.1633][ 78.4271][ 78.7167][ 79.0318][ 79.3725][ 79.7383][ 80.1292][ 80.5448][ 80.9849][ 81.4491][ 81.9372][ 82.4487][ 82.9833][ 83.5404][ 84.1196][ 84.7203][ 85.3419][ 85.9838][ 86.6454][ 87.3258][ 88.0244][ 88.7402][ 89.4724][   90.22][ 90.9822][ 91.7578][ 92.5458][ 93.3451][ 94.1544][ 94.9728][ 95.7988][ 96.6313][  97.469][ 98.3105][ 99.1546][     100]
[     100][ 99.1834][ 98.3681][ 97.5555][ 96.7467][ 95.9431][ 95.1457][ 94.3558][ 93.5746][ 92.8032][ 92.0427][ 91.2942][ 90.5586][ 89.8371][ 89.1304][ 88.4396][ 87.7654][ 87.1087][ 86.4702][ 85.8506][ 85.2506][ 84.6708][ 84.1118][ 83.5742][ 83.0583][ 82.5647][ 82.0938][ 81.6459][ 81.2215][ 80.8207][ 80.4439][ 80.0914][ 79.7634][   79.46][ 79.1814][ 78.9279][ 78.6994][ 78.4963][ 78.3184][  78.166][ 78.0392][ 77.9378][ 77.8621][  77.812][ 77.7876][ 77.7888][ 77.8157][ 77.8682][ 77.9463][   78.05][ 78.1792][ 78.3339][ 78.5139][ 78.7193][ 78.9498][ 79.2053][ 79.4858][  79.791][ 80.1207][ 80.4748][  80.853][ 81.2551][ 81.6808][ 82.1297][ 82.6015][ 83.0958][ 83.6123][ 84.1504][ 84.7096][ 85.2894][ 85.8893][ 86.5086][ 87.1466][ 87.8027][  88.476][ 89.1658][ 89.8712][ 90.5913][ 91.3252][ 92.0719][ 92.8303][ 93.5995][ 94.3783][ 95.1655][   95.96][ 96.7607][ 97.5663][ 98.3755][ 99.1872][     100]
[     100][ 99.2149][  98.431][ 97.6496][ 96.8719][  96.099][ 95.3322][ 94.5724][ 93.8209][ 93.0787][ 92.3468][ 91.6264][ 90.9183][ 90.2235][ 89.5429][ 88.8774][ 88.2278][ 87.5948][ 86.9793][ 86.3818][ 85.8031][ 85.2437][ 84.7043][ 84.1853][ 83.6872][ 83.2104][ 82.7555][ 82.3228][ 81.9125][ 81.5251][ 81.1608][ 80.8198][ 80.5025][  80.209][ 79.9394][  79.694][ 79.4729][ 79.2762][ 79.1041][ 78.9565][ 78.8337][ 78.7356][ 78.6623][ 78.6138][ 78.5901][ 78.5913][ 78.6174][ 78.6683][  78.744][ 78.8444][ 78.9696][ 79.1194][ 79.2938][ 79.4926][ 79.7157][ 79.9631][ 80.2346][ 80.5299][ 80.8489][ 81.1914][ 81.5572][ 81.9459][ 82.3573][ 82.7911][ 83.2469][ 83.7244][ 84.2231][ 84.7425][ 85.2822][ 85.8416][ 86.4202][ 87.0174][ 87.6325][ 88.2648][ 88.9135][  89.578][ 90.2573][ 90.9507][ 91.6572][ 92.3758][ 93.1056][ 93.8456][ 94.5947][ 95.3518][ 96.1159][ 96.8858][ 97.6603][ 98.4383][ 99.2186][     100]
[     100][ 99.2453][ 98.4918][ 97.7407][ 96.9931][   96.25][ 95.5127][ 94.7821][ 94.0593][ 93.3454][ 92.6414][ 91.9482][ 91.2668][  90.598][ 89.9428][ 89.3019][ 88.6762][ 88.0665][ 87.4733][ 86.8975][ 86.3395][ 85.8001][ 85.2798][ 84.7791][ 84.2984][ 83.8383][  83.399][ 82.9811][ 82.5849][ 82.2106][ 81.8586][ 81.5291][ 81.2223][ 80.9385][ 80.6779][ 80.4406][ 80.2267][ 80.0365][ 79.8699][ 79.7272][ 79.6083][ 79.5134][ 79.4424][ 79.3955][ 79.3727][ 79.3739][ 79.3991][ 79.4484][ 79.5217][ 79.6189][ 79.7401][ 79.8851][ 80.0538][ 80.2462][ 80.4621][ 80.7014][ 80.9639][ 81.2494][ 81.5578][ 81.8889][ 82.2424][ 82.6179][ 83.0154][ 83.4343][ 83.8744][ 84.3353][ 84.8165][ 85.3177][ 85.8382][ 86.3777][ 86.9355][ 87.5111][ 88.1038][ 88.7129][ 89.3377][ 89.9775][ 90.6315][ 91.2989][ 91.9787][ 92.6701][ 93.3721][ 94.0838][ 94.8041][ 95.5321][ 96.2667][ 97.0068][ 97.7513][  98.499][  99.249][     100]
[     100][ 99.2748][ 98.5507][ 97.8289][ 97.1104][ 96.3962][ 95.6875][ 94.9852][ 94.2904][  93.604][ 92.9269][ 92.2602][ 91.6047][ 90.9612][ 90.3307][ 89.7139][ 89.1115][ 88.5243][  87.953][ 87.3983][ 86.8607][ 86.3408][ 85.8392][ 85.3564][ 84.8928][  84.449][ 84.0252][ 83.6219][ 83.2394][  82.878][ 82.5381][ 82.2199][ 81.9236][ 81.6494][ 81.3976][ 81.1682][ 80.9615][ 80.7776][ 80.6166][ 80.4787][ 80.3637][  80.272][ 80.2034][ 80.1581][  80.136][ 80.1372][ 80.1616][ 80.2093][ 80.2802][ 80.3743][ 80.4915][ 80.6317][ 80.7948][ 80.9808][ 81.1895][ 81.4208][ 81.6745][ 81.9504][ 82.2484][ 82.5681][ 82.9095][ 83.2721][ 83.6557][ 84.0601][ 84.4847][ 84.9293][ 85.3934][ 85.8767][ 86.3785][ 86.8984][ 87.4359][ 87.9904][ 88.5612][ 89.1477][ 89.7493][ 90.3651][ 90.9944][ 91.6364][ 92.2903][ 92.9553][ 93.6303][ 94.3146][  95.007][ 95.7068][ 96.4128][  97.124][ 97.8393][ 98.5578][ 99.2784][     100]
[     100][ 99.3033][ 98.6078][ 97.9144][ 97.2241][  96.538][  95.857][ 95.1822][ 94.5144][ 93.8547][ 93.2039][ 92.5629][ 91.9326][ 91.3138][ 90.7073][ 90.1138][ 89.5342][ 88.9691][ 88.4192][  87.885][ 87.3673][ 86.8666][ 86.3833][  85.918][ 85.4712][ 85.0433][ 84.6347][ 84.2458][ 83.8768][ 83.5282][ 83.2002][ 82.8931][ 82.6071][ 82.3424][ 82.0992][ 81.8778][ 81.6782][ 81.5006][ 81.3451][ 81.2118][ 81.1008][ 81.0121][ 80.9459][ 80.9021][ 80.8808][  80.882][ 80.9056][ 80.9517][ 81.0203][ 81.1112][ 81.2244][ 81.3599][ 81.5175][ 81.6972][ 81.8988][ 82.1222][ 82.3672][ 82.6336][ 82.9212][ 83.2299][ 83.5593][ 83.9092][ 84.2792][ 84.6692][ 85.0787][ 85.5073][ 85.9546][ 86.4203][ 86.9038][ 87.4046][ 87.9222][ 88.4561][ 89.0055][   89.57][ 90.1488][ 90.7412][ 91.3465][ 91.9639][ 92.5927][ 93.2319][ 93.8808][ 94.5383][ 95.2038][ 95.8761][ 96.5543][ 97.2375][ 97.9247][ 98.6148][  99.307][     100]
[     100][ 99.3311][ 98.6632][ 97.9973][ 97.3345][ 96.6755][ 96.0215][ 95.3733][ 94.7319][ 94.0981][ 93.4728][ 92.8568][  92.251][ 91.6562][ 91.0731][ 90.5025][  89.945][ 89.4015][ 88.8724][ 88.3584][ 87.8601][ 87.3781][ 86.9128][ 86.4647][ 86.0344][ 85.6221][ 85.2284][ 84.8536][  84.498][ 84.1619][ 83.8456][ 83.5494][ 83.2736][ 83.0182][ 82.7837][   82.57][ 82.3774][  82.206][ 82.0559][ 81.9272][ 81.8201][ 81.7345][ 81.6706][ 81.6284][ 81.6078][  81.609][ 81.6318][ 81.6764][ 81.7426][ 81.8304][ 81.9397][ 82.0705][ 82.2227][ 82.3962][ 82.5907][ 82.8063][ 83.0427][ 83.2997][ 83.5772][ 83.8749][ 84.1925][ 84.5298][ 84.8866][ 85.2624][  85.657][ 86.0699][ 86.5008][ 86.9493][ 87.4148][ 87.8969][ 88.3951][ 88.9088][ 89.4374][ 89.9804][  90.537][ 91.1066][ 91.6885][  92.282][ 92.8862][ 93.5004][ 94.1238][ 94.7555][ 95.3946][ 96.0403][ 96.6916][ 97.3477][ 98.0075][ 98.6701][ 99.3346][     100]
[     100][  99.358][ 98.7169][ 98.0778][ 97.4416][ 96.8091][ 96.1813][  95.559][ 94.9431][ 94.3345][  93.734][ 93.1424][ 92.5605][  91.989][ 91.4288][ 90.8804][ 90.3446][ 89.8221][ 89.3133][ 88.8191][ 88.3398][ 87.8761][ 87.4284][ 86.9972][  86.583][ 86.1861][  85.807][  85.446][ 85.1035][ 84.7798][  84.475][ 84.1896][ 83.9238][ 83.6777][ 83.4516][ 83.2456][ 83.0599][ 82.8946][ 82.7499][ 82.6258][ 82.5225][   82.44][ 82.3783][ 82.3376][ 82.3178][ 82.3189][  82.341][  82.384][ 82.4479][ 82.5326][ 82.6381][ 82.7643][ 82.9111][ 83.0784][  83.266][ 83.4739][ 83.7018][ 83.9495][  84.217][ 84.5039][ 84.8099][ 85.1349][ 85.4786][ 85.8405][ 86.2205][  86.618][ 87.0328][ 87.4644][ 87.9123][ 88.3761][ 88.8552][ 89.3492][ 89.8575][ 90.3794][ 90.9144][ 91.4618][ 92.0209][  92.591][ 93.1714][ 93.7613][ 94.3599][ 94.9664][   95.58][ 96.1998][  96.825][ 97.4546][ 98.0879][ 98.7238][ 99.3615][     100]
[     100][ 99.3841][ 98.7692][ 98.1561][ 97.5457][ 96.9389][ 96.3366][ 95.7395][ 95.1485][ 94.5644][  93.988][ 93.4202][ 92.8615][ 92.3129][ 91.7748][ 91.2482][ 90.7335][ 90.2315][ 89.7427][ 89.2677][  88.807][ 88.3612][ 87.9308][ 87.5161][ 87.1177][  86.736][ 86.3712][ 86.0239][ 85.6942][ 85.3826][ 85.0892][ 84.8144][ 84.5584][ 84.3214][ 84.1036][ 83.9052][ 83.7263][ 83.5671][ 83.4276][ 83.3081][ 83.2086][ 83.1291][ 83.0697][ 83.0304][ 83.0114][ 83.0125][ 83.0338][ 83.0752][ 83.1368][ 83.2185][ 83.3202][ 83.4418][ 83.5833][ 83.7445][ 83.9253][ 84.1256][ 84.3451][ 84.5838][ 84.8413][ 85.1176][ 85.4122][ 85.7251][ 86.0558][ 86.4042][ 86.7697][ 87.1522][ 87.5511][ 87.9662][ 88.3968][ 88.8427][ 89.3033][  89.778][ 90.2664][ 90.7678][ 91.2816][ 91.8073][ 92.3442][ 92.8915][ 93.4487][ 94.0148][ 94.5893][ 95.1713][ 95.7601][ 96.3547][ 96.9545][ 97.5585][  98.166][ 98.7759][ 99.3876][     100]
[     100][ 99.4095][   98.82][ 98.2322][  97.647][ 97.0652][ 96.4876][  95.915][ 95.3483][ 94.7881][ 94.2353][ 93.6905][ 93.1545][ 92.6281][ 92.1118][ 91.6063][ 91.1123][ 90.6304][  90.161][ 89.7049][ 89.2624][ 88.8342][ 88.4206][ 88.0222][ 87.6393][ 87.2723][ 86.9217][ 86.5877][ 86.2707][  85.971][ 85.6888][ 85.4245][ 85.1782][ 84.9501][ 84.7405][ 84.5496][ 84.3774][ 84.2241][ 84.0899][ 83.9749][  83.879][ 83.8025][ 83.7453][ 83.7076][ 83.6892][ 83.6903][ 83.7109][ 83.7508][ 83.8102][ 83.8888][ 83.9867][ 84.1039][ 84.2401][ 84.3953][ 84.5693][ 84.7621][ 84.9734][ 85.2031][ 85.4509][ 85.7167][ 86.0001][ 86.3011][ 86.6191][ 86.9541][ 87.3055][ 87.6731][ 88.0565][ 88.4554][ 88.8691][ 89.2975][ 89.7398][ 90.1957][ 90.6646][  91.146][ 91.6392][ 92.1437][ 92.6589][  93.184][ 93.7185][ 94.2616][ 94.8126][ 95.3707][ 95.9353][ 96.5055][ 97.0805][ 97.6596][ 98.2419][ 98.8266][ 99.4129][     100]
[     100][ 99.4343][ 98.8695][ 98.3063][ 97.7456][ 97.1881][ 96.6346][  96.086][ 95.5428][ 95.0059][  94.476][ 93.9538][   93.44][ 92.9352][ 92.4401][ 91.9554][ 91.4815][ 91.0192][ 90.5689][ 90.1312][ 89.7066][ 89.2955][ 88.8985][  88.516][ 88.1483][ 87.7959][ 87.4591][ 87.1382][ 86.8337][ 86.5457][ 86.2745][ 86.0205][ 85.7837][ 85.5645][  85.363][ 85.1794][ 85.0138][ 84.8665][ 84.7374][ 84.6267][ 84.5346][  84.461][  84.406][ 84.3697][ 84.3521][ 84.3532][ 84.3729][ 84.4114][ 84.4685][ 84.5442][ 84.6384][ 84.7511][ 84.8821][ 85.0314][ 85.1988][ 85.3841][ 85.5873][ 85.8081][ 86.0464][ 86.3018][ 86.5743][ 86.8634][ 87.1691][ 87.4908][ 87.8284][ 88.1815][ 88.5497][ 88.9326][ 89.3298][ 89.7409][ 90.1654][ 90.6029][ 91.0527][ 91.5145][ 91.9876][ 92.4714][ 92.9654][ 93.4689][ 93.9813][ 94.5018][ 95.0299][ 95.5648][ 96.1058][ 96.6522][ 97.2031][ 97.7579][ 98.3158][ 98.8759][ 99.4376][     100]
[     100][ 99.4584][ 98.9176][ 98.3785][ 97.8416][ 97.3079][ 96.7779][ 96.2525][ 95.7324][ 95.2182][ 94.7107][ 94.2105][ 93.7183][ 93.2347][ 92.7603][ 92.2958][ 91.8416][ 91.3985][ 90.9668][ 90.5472][   90.14][ 89.7458][ 89.3651][ 88.9981][ 88.6454][ 88.3072][  87.984][ 87.6761][ 87.3838][ 87.1073][  86.847][  86.603][ 86.3757][ 86.1652][ 85.9716][ 85.7953][ 85.6363][ 85.4947][ 85.3707][ 85.2644][ 85.1758][ 85.1051][ 85.0523][ 85.0175][ 85.0005][ 85.0016][ 85.0206][ 85.0576][ 85.1125][ 85.1852][ 85.2758][ 85.3841][   85.51][ 85.6534][ 85.8142][ 85.9923][ 86.1875][ 86.3996][ 86.6284][ 86.8737][ 87.1353][ 87.4129][ 87.7063][ 88.0151][ 88.3391][ 88.6779][ 89.0311][ 89.3984][ 89.7794][ 90.1737][ 90.5807][ 91.0001][ 91.4314][ 91.8739][ 92.3273][ 92.7909][ 93.2642][ 93.7466][ 94.2373][ 94.7359][ 95.2417][ 95.7539][  96.272][ 96.7951][ 97.3226][ 97.8537][ 98.3878][  98.924][ 99.4617][     100]
[     100][ 99.4819][ 98.9646][ 98.4488][ 97.9353][ 97.4246][ 96.9176][ 96.4149][ 95.9173][ 95.4253][ 94.9396][ 94.4609][ 93.9898][ 93.5269][ 93.0727][  92.628][ 92.1932][ 91.7688][ 91.3554][ 90.9534][ 90.5634][ 90.1857][ 89.8208][ 89.4692][ 89.1311][  88.807][ 88.4971][ 88.2019][ 87.9216][ 87.6565][ 87.4068][ 87.1728][ 86.9547][ 86.7528][ 86.5671][ 86.3979][ 86.2453][ 86.1094][ 85.9905][ 85.8884][ 85.8035][ 85.7356][ 85.6849][ 85.6515][ 85.6353][ 85.6363][ 85.6546][ 85.6901][ 85.7428][ 85.8126][ 85.8996][ 86.0035][ 86.1244][ 86.2621][ 86.4164][ 86.5873][ 86.7746][ 86.9781][ 87.1976][ 87.4329][ 87.6838][ 87.9501][ 88.2314][ 88.5275][ 88.8381][ 89.1629][ 89.5014][ 89.8534][ 90.2185][ 90.5962][ 90.9862][ 91.3879][ 91.8009][ 92.2247][ 92.6588][ 93.1027][ 93.5557][ 94.0174][ 94.4871][ 94.9643][ 95.4482][ 95.9383][ 96.4339][ 96.9344][  97.439][ 97.9471][ 98.4579][ 98.9708][ 99.4851][     100]
[     100][ 99.5048][ 99.0105][ 98.5175][ 98.0266][ 97.5386][  97.054][ 96.5735][ 96.0977][ 95.6274][  95.163][ 94.7053][ 94.2549][ 93.8122][ 93.3779][ 92.9525][ 92.5365][ 92.1305][  91.735][ 91.3504][ 90.9771][ 90.6156][ 90.2664][ 89.9297][ 89.6061][ 89.2957][  88.999][ 88.7162][ 88.4478][ 88.1938][ 87.9546][ 87.7304][ 87.5214][ 87.3279][   87.15][ 86.9878][ 86.8415][ 86.7113][ 86.5973][ 86.4995][  86.418][  86.353][ 86.3044][ 86.2724][ 86.2568][ 86.2579][ 86.2754][ 86.3095][   86.36][  86.427][ 86.5104][   86.61][ 86.7259][ 86.8579][ 87.0059][ 87.1697][ 87.3492][ 87.5442][ 87.7546][ 87.9801][ 88.2205][ 88.4755][  88.745][ 89.0286][ 89.3261][  89.637][ 89.9612][ 90.2982][ 90.6476][ 91.0092][ 91.3823][ 91.7667][ 92.1619][ 92.5673][ 92.9826][ 93.4071][ 93.8403][ 94.2818][  94.731][ 95.1871][ 95.6498][ 96.1183][  96.592][ 97.0703][ 97.5526][ 98.0382][ 98.5264][ 99.0165][  99.508][     100]
[     100][ 99.5273][ 99.0552][ 98.5846][ 98.1159][ 97.6499][ 97.1872][ 96.7283][  96.274][ 95.8248][ 95.3814][ 94.9442][ 94.5139][  94.091][ 93.6761][ 93.2696][ 92.8722][ 92.4842][ 92.1062][ 91.7385][ 91.3817][ 91.0362][ 90.7022][ 90.3803][ 90.0708][  89.774][ 89.4902][ 89.2197][ 88.9628][ 88.7198][ 88.4909][ 88.2764][ 88.0764][ 87.8912][ 87.7209][ 87.5656][ 87.4256][  87.301][ 87.1918][ 87.0982][ 87.0202][  86.958][ 86.9115][ 86.8808][ 86.8659][ 86.8669][ 86.8837][ 86.9163][ 86.9648][ 87.0289][ 87.1088][ 87.2042][ 87.3152][ 87.4416][ 87.5833][ 87.7401][ 87.9119][ 88.0986][    88.3][ 88.5158][ 88.7458][ 88.9899][ 89.2477][  89.519][ 89.8035][  90.101][  90.411][ 90.7332][ 91.0673][  91.413][ 91.7697][ 92.1371][ 92.5147][ 92.9022][ 93.2989][ 93.7045][ 94.1184][ 94.5402][ 94.9691][ 95.4048][ 95.8466][  96.294][ 96.7464][ 97.2031][ 97.6635][ 98.1271][ 98.5932][ 99.0611][ 99.5303][     100]
[     100][ 99.5491][  99.099][ 98.6501][ 98.2031][ 97.7587][ 97.3173][ 96.8797][ 96.4464][ 96.0179][ 95.5948][ 95.1778][ 94.7672][ 94.3637][ 93.9678][ 93.5799][ 93.2006][ 92.8302][ 92.4694][ 92.1184][ 91.7778][ 91.4478][ 91.1289][ 90.8215][ 90.5258][ 90.2423][ 89.9712][ 89.7128][ 89.4673][ 89.2351][ 89.0164][ 88.8114][ 88.6202][ 88.4432][ 88.2804][  88.132][ 87.9982][  87.879][ 87.7746][ 87.6851][ 87.6105][  87.551][ 87.5066][ 87.4772][  87.463][  87.464][ 87.4801][ 87.5113][ 87.5576][  87.619][ 87.6954][ 87.7867][ 87.8928][ 88.0136][ 88.1491][ 88.2991][ 88.4633][ 88.6418][ 88.8343][ 89.0405][ 89.2604][ 89.4936][   89.74][ 89.9992][  90.271][ 90.5552][ 90.8513][  91.159][ 91.4781][ 91.8081][ 92.1487][ 92.4994][ 92.8599][ 93.2297][ 93.6084][ 93.9954][ 94.3904][ 94.7927][  95.202][ 95.6176][ 96.0391][ 96.4658][ 96.8973][ 97.3328][  97.772][  98.214][ 98.6585][ 99.1047][ 99.5521][     100]
